Ovitrampa ID;Estado;Município;Distrito;Rua;Número;Complemento;Localização;Latitude;Longitude;Ano;Semana;Data do envio da contagem;Ovos;Quem enviou;Observação;Lat_lng;Quarteirão;Data da instalação;Data de coleta
1;Mato Grosso do Sul;Ponta Porã;;Rua:Aymore de oliveira lima;1388;;;-22,57584224;-55,6760529;2026;10;2026-03-23 20:20:58;99;sevpontapora.ms;;-22.57584224,-55.6760529;;2026-03-09;2026-03-13
10;Mato Grosso do Sul;Ponta Porã;;Rua Primavera;224;;Mesa/Varanda;-22,57531435;-55,68473061;2026;10;2026-03-23 20:21:02;189;sevpontapora.ms;;-22.57531435,-55.68473061;;2026-03-09;2026-03-13
100;Mato Grosso do Sul;Ponta Porã;;Rua Anhandui;131;;planteira;-22,52719331;-55,71117505;2026;10;2026-03-23 20:21:48;0;sevpontapora.ms;;-22.52719331,-55.71117505;;2026-03-09;2026-03-13
101;Mato Grosso do Sul;Ponta Porã;;Rua: Tomas Laranjeira;621;;Vaso de plantas;-22,52761064;-55,71482031;2026;10;2026-03-23 20:21:48;130;sevpontapora.ms;;-22.52761064,-55.71482031;;2026-03-09;2026-03-13
102;Mato Grosso do Sul;Ponta Porã;;Rua: Presidente vargas;1534;;Churrasqueira;-22,52836381;-55,7178673;2026;10;2026-03-23 20:21:49;0;sevpontapora.ms;;-22.52836381,-55.7178673;;2026-03-09;2026-03-13
103;Mato Grosso do Sul;Ponta Porã;;Guarda - AGETRAN;S/n;;atrás da tv;-22,52690007;-55,72389433;2026;10;2026-03-23 20:21:49;49;sevpontapora.ms;;-22.52690007,-55.72389433;;2026-03-09;2026-03-13
104;Mato Grosso do Sul;Ponta Porã;;Rua: Calogeras - Arena Royal;;;embaixo do tanque;-22,52915021;-55,72695016;2026;10;2026-03-23 20:21:50;0;sevpontapora.ms;;-22.52915021,-55.72695016;;2026-03-09;2026-03-13
105;Mato Grosso do Sul;Ponta Porã;;Rua: Jorge roberto salomão;679;;vaso de planta;-22,52732321;-55,73038809;2026;10;2026-03-23 20:21:51;72;sevpontapora.ms;;-22.52732321,-55.73038809;;2026-03-09;2026-03-13
106;Mato Grosso do Sul;Ponta Porã;;Rua: Antonio João;1675;;perto do cavalinho;-22,5272091;-55,73398727;2026;10;2026-03-23 20:21:51;173;sevpontapora.ms;;-22.5272091,-55.73398727;;2026-03-09;2026-03-13
107;Mato Grosso do Sul;Ponta Porã;;Rua Jose Bonifacio;19;;pneu do lado do cano;-22,52708862;-55,73718552;2026;10;2026-03-23 20:21:52;0;sevpontapora.ms;;-22.52708862,-55.73718552;;2026-03-09;2026-03-13
108;Mato Grosso do Sul;Ponta Porã;;Av: Brasil - loja de gesso;4702;;mesa do fundo;-22,52385148;-55,73801071;2026;10;2026-03-23 20:21:52;42;sevpontapora.ms;;-22.52385148,-55.73801071;;2026-03-09;2026-03-13
109;Mato Grosso do Sul;Ponta Porã;;Rua: General Osorio - Funcespp;;;plantas;-22,5236532;-55,73380397;2026;10;2026-03-23 20:21:53;4;sevpontapora.ms;;-22.5236532,-55.73380397;;2026-03-09;2026-03-13
11;Mato Grosso do Sul;Ponta Porã;;"Rua; João Manoel Cardinal";1549;;Geladeira/Varanda;-22,57479302;-55,68840108;2026;10;2026-03-23 20:21:02;103;sevpontapora.ms;;-22.57479302,-55.68840108;;2026-03-09;2026-03-13
110;Mato Grosso do Sul;Ponta Porã;;Rua: Carlos Augusto Pissini;36;;plantas;-22,52405001;-55,72976124;2026;10;2026-03-23 20:21:53;0;sevpontapora.ms;;-22.52405001,-55.72976124;;2026-03-09;2026-03-13
111;Mato Grosso do Sul;Ponta Porã;;Rua: Jorge R Salomao;1140;;oficina mecânica;-22,52418281;-55,72567349;2026;10;2026-03-23 20:21:54;58;sevpontapora.ms;;-22.52418281,-55.72567349;;2026-03-09;2026-03-13
